time,open,high,low,close,vwap,volume
2023-06-19,137.42,139.3,136.3,138.28,137.70,3772.55695329
2023-06-20,138.11,142.78,137.32,141.85,140.33,4784.56636596
2023-06-21,141.57,145.9,141.18,145.12,143.98,6826.72716519
2023-06-22,145.26,153.05,145.19,149.92,148.95,10124.19127218
2023-06-23,149.92,155.46,149.04,154.53,151.88,7365.64243983
2023-06-24,154.5,159.81,153.48,156.58,156.09,6756.32242437
2023-06-25,156.68,166.08,156.07,163.26,162.00,6470.01372009
2023-06-26,163.25,165.92,158.43,163.59,163.25,6711.22837799
2023-06-27,163.86,170.79,163.6,167.92,168.08,6232.17655823
2023-06-28,167.7,170.51,162.8,164.64,166.38,4052.51588413
2023-06-29,164.58,167.9,160.7,164.15,164.66,7767.19804151
2023-06-30,164.03,169.49,160.87,168.24,166.31,14513.68881608
2023-07-01,168.42,169.22,166.76,167.12,168.20,2820.55462461
2023-07-02,166.82,168.64,163.0,168.59,165.02,2224.47610182
2023-07-03,168.7,172.49,167.38,168.86,169.26,3953.21391799
2023-07-04,168.59,170.99,166.26,166.27,168.59,4690.60950901
2023-07-05,166.28,169.69,161.94,166.78,165.70,5531.1012876
2023-07-06,166.78,169.66,164.0,165.61,167.07,5361.57507744
2023-07-07,165.47,168.56,163.94,165.49,165.61,5324.75234601
2023-07-08,165.51,168.89,165.28,167.2,166.34,6076.37788796
2023-07-09,167.24,168.8,165.17,165.79,167.36,2684.86422215
2023-07-10,165.7,166.82,163.18,163.58,165.36,2756.68914741
2023-07-11,163.57,165.5,163.0,165.13,164.34,2612.23082636
2023-07-12,165.17,165.43,162.81,163.31,163.86,2151.29386565
2023-07-13,163.12,167.7,161.76,165.32,164.02,5740.06783066
2023-07-14,165.32,166.52,156.67,160.67,161.75,5603.1621681
2023-07-15,160.52,166.22,158.98,164.76,162.39,3168.42043827
2023-07-16,164.81,166.22,163.34,165.39,164.89,1653.55057314
2023-07-17,165.46,169.0,163.01,168.47,166.58,6977.17027456
2023-07-18,168.34,168.91,164.25,166.96,166.82,3396.21169735
2023-07-19,167.02,170.21,165.13,165.85,168.24,3661.43196765
2023-07-20,165.85,168.35,163.43,165.75,165.64,2222.26660772
2023-07-21,165.87,166.21,160.45,162.1,163.03,3663.68493238
2023-07-22,161.99,163.76,161.22,162.12,162.57,1708.95366533
2023-07-23,162.02,166.38,161.68,163.78,164.33,2816.99531786
2023-07-24,163.87,164.52,160.05,160.99,162.02,2701.64544822
2023-07-25,161.0,163.0,159.9,162.91,161.79,2205.20052615
2023-07-26,162.98,163.56,161.37,162.82,162.67,2411.64019284
2023-07-27,162.81,164.09,161.26,162.18,162.67,1649.25899953
2023-07-28,162.03,164.49,161.94,163.09,163.31,2210.63696749
2023-07-29,162.83,164.31,162.21,163.2,163.23,1078.04056221
2023-07-30,163.18,163.76,158.53,160.37,161.93,2404.99460402
2023-07-31,160.36,161.9,159.8,161.23,160.73,3909.68272825
2023-08-01,161.28,163.56,157.43,160.28,160.38,5166.22326302
2023-08-02,160.36,161.02,158.81,159.98,160.08,4548.37920997
2023-08-03,160.0,161.47,159.8,160.35,160.24,11714.10988183
2023-08-04,160.33,161.59,157.4,158.59,159.31,4240.56578341
